Trial No.,Welding Speed (cm/min),Wire Speed (cm/min),Cleaning Percentage (%),Current (A),Gap (mm),Front Height (mm),Front Width (mm),Back Height (mm),Back Width (mm)
1,24,1.5,30,80,3.2,0.027,6.411,0.412,5.197
2,46,1.5,30,80,2.4,0.357,4.982,0.001,2.255
3,24,2.5,30,80,2.4,0.155,6.676,0.743,5.96
4,46,2.5,30,80,3.2,0.487,4.992,0.139,1.6
5,24,1.5,70,80,2.4,-0.179,7.432,0.593,7.058
6,46,1.5,70,80,3.2,-0.09,4.423,0.42,3.172
7,24,2.5,70,80,3.2,-0.077,7.46,0.82,7.809
8,46,2.5,70,80,2.4,0.38,5.231,0.397,2.817
9,24,1.5,30,110,2.4,-0.599,11.348,0.805,11.679
10,46,1.5,30,110,3.2,-0.339,7.335,0.619,7.52
11,24,2.5,30,110,3.2,-0.557,12.348,1.139,12.403
12,46,2.5,30,110,2.4,-0.01,6.396,0.536,6.197
13,24,1.5,70,110,3.2,-0.683,12.946,0.945,13.921
14,46,1.5,70,110,2.4,0.249,7.719,0.492,7.706
15,24,2.5,70,110,2.4,-0.623,11.767,1.128,12.86
16,46,2.5,70,110,3.2,-0.358,7.759,0.798,7.917
